arrival_rate,service_rate,num_servers,traffic_intensity,avg_wait_time,avg_queue_length,throughput,utilization
2.2882,2.8245,3,0.27,0.0073,0.0148,2.292,0.27
0.7333,4.7111,4,0.0389,0.0,0.0,0.722,0.0389
3.9369,2.6183,5,0.3007,0.0019,0.0054,4.054,0.3007
1.7314,1.8332,5,0.1889,0.0011,0.0045,1.788,0.1889
0.9295,3.4691,3,0.0893,0.0003,0.0021,0.932,0.0893
3.6494,4.8082,1,0.759,0.4271,1.4182,3.51,0.759
2.7462,1.2072,5,0.455,0.024,0.0793,2.816,0.455
0.7026,4.5542,4,0.0386,0.0,0.0,0.752,0.0386
3.5096,2.726,4,0.3219,0.0049,0.0164,3.418,0.3219
3.5777,2.7091,1,1.3206,61.4929,207.5469,2.596,0.9999
2.3985,1.5717,2,0.763,0.7033,1.6782,2.372,0.763
2.0988,3.3567,4,0.1563,0.0005,0.0,2.08,0.1563
1.4481,3.1407,5,0.0922,0.0,0.0,1.398,0.0922
1.5538,4.2646,2,0.1822,0.007,0.0092,1.524,0.1822
0.688,1.2745,1,0.5398,0.5179,0.2331,0.652,0.5398
3.9131,4.6186,5,0.1694,0.0001,0.0,3.824,0.1694
2.5807,3.8094,4,0.1694,0.0002,0.0,2.594,0.1694
1.2678,2.9023,5,0.0874,0.0,0.0,1.322,0.0874
1.1593,1.8174,2,0.3189,0.0448,0.0546,1.024,0.3189
1.6847,3.1603,3,0.1777,0.0033,0.0059,1.694,0.1777
3.1634,3.2368,5,0.1955,0.0001,0.0,3.118,0.1955
1.8821,4.8276,5,0.078,0.0,0.0,1.86,0.078
2.8551,3.6982,3,0.2573,0.0095,0.0299,2.744,0.2573
1.2379,3.9362,1,0.3145,0.1,0.1223,1.226,0.3145
2.6522,2.9106,2,0.4556,0.0952,0.2843,2.554,0.4556
3.7305,2.7953,5,0.2669,0.0009,0.0033,3.68,0.2669
1.6408,4.7486,1,0.3455,0.1194,0.1833,1.68,0.3455
0.6042,3.5233,2,0.0857,0.0014,0.0,0.612,0.0857
2.6772,1.0355,2,1.2927,66.3445,177.2498,2.102,0.9999
